customer_id,customer_code,customer_name,customer_type,customer_price_sensitivity,customer_visit_frequency
118,CUS118,Michèle Bonneau,Local,0.48,3
119,CUS119,Thierry Michaud,Touriste,0.47,0
120,CUS120,Antoine Caron,Local,0.39,1
121,CUS121,William Blondel-Delahaye,Touriste,0.43,3
122,CUS122,Michel-Marcel Joubert,Local,0.43,0
123,CUS123,Geneviève Germain,Local,0.5,1
124,CUS124,Margot Foucher,Local,0.62,1
125,CUS125,Françoise Delmas,Local,0.78,0
126,CUS126,Alain Breton,Touriste,0.74,0
127,CUS127,Josette Albert,Professionnel,0.94,0
128,CUS128,Grégoire Dupuy,Local,0.86,2
129,CUS129,Grégoire Langlois,Local,0.64,2
130,CUS130,Virginie Gay,Touriste,0.33,3
131,CUS131,Frédéric Petitjean,Local,0.38,2
132,CUS132,Adrienne François,Local,0.56,0
133,CUS133,Adélaïde Gilbert,Local,0.45,1
134,CUS134,Zacharie Bigot,Professionnel,0.72,3
135,CUS135,André Raynaud,Local,0.71,2
136,CUS136,Louise-Clémence Leroux,Local,0.55,2
137,CUS137,Bertrand-Julien Didier,Professionnel,0.72,1
138,CUS138,Arthur Bernier,Local,0.47,1
139,CUS139,Luc Besnard,Local,0.42,1
140,CUS140,Henri Picard,Local,0.59,1
141,CUS141,Michèle Delmas,Local,0.98,3
142,CUS142,Virginie Joseph-Alexandre,Touriste,0.95,2
143,CUS143,Adrienne Bourgeois,Touriste,0.43,2
144,CUS144,Alfred Schneider,Local,0.38,2
145,CUS145,Marcelle David,Local,0.64,1
146,CUS146,Henri de Wagner,Local,0.39,0
147,CUS147,Isaac Meyer,Professionnel,0.53,3
148,CUS148,Denise Tessier du Bonnet,Local,0.63,2
149,CUS149,Martine Salmon,Touriste,0.98,0
150,CUS150,Richard Lefort,Touriste,0.96,1
151,CUS151,Bernadette de la Gilbert,Touriste,0.7,1
152,CUS152,Céline Gilles-Dos Santos,Touriste,0.44,1
153,CUS153,Mathilde-Élodie Hervé,Touriste,0.77,3
154,CUS154,Théophile-Jules Samson,Touriste,0.61,2
155,CUS155,Laure Dumas,Touriste,0.65,2
156,CUS156,Matthieu-Philippe Guichard,Local,0.93,1
157,CUS157,Nathalie Bertin,Professionnel,0.74,1
158,CUS158,Margaret Vincent du Coste,Touriste,0.73,3
159,CUS159,Odette Bazin,Local,0.47,1
160,CUS160,Henri Cordier-Guillaume,Local,0.83,3
161,CUS161,Augustin Leblanc,Touriste,0.39,2
162,CUS162,Maurice Potier,Local,0.81,4
163,CUS163,Aurélie Alves,Local,0.43,3
164,CUS164,Thibault Leroy-Carre,Professionnel,0.41,3
165,CUS165,Étienne Julien,Professionnel,0.95,4
166,CUS166,Benjamin Rousset,Local,0.72,4
167,CUS167,Virginie Pineau,Local,0.99,1
168,CUS168,Michelle Jacob,Professionnel,0.91,2
169,CUS169,Guillaume Nicolas,Local,0.53,1
170,CUS170,Margot Barbier,Local,0.58,3
171,CUS171,François Fouquet,Touriste,0.62,1
172,CUS172,Françoise Seguin de la Robin,Local,0.42,3
173,CUS173,Noël du Julien,Local,0.74,0
174,CUS174,Matthieu Legros de Joubert,Touriste,0.42,2
175,CUS175,Emmanuel Gilbert,Local,1.0,2
176,CUS176,Tristan Le Blanchard,Touriste,0.45,2
177,CUS177,Franck Lefebvre-Coste,Local,0.63,1
178,CUS178,Marine Simon de Peron,Touriste,0.62,2
179,CUS179,Olivier Bernard-Raynaud,Local,0.41,3
180,CUS180,Thibaut Bruneau,Local,0.75,1
181,CUS181,Alain Bouchet,Local,0.8,1
182,CUS182,Dorothée Robin,Local,0.46,1
183,CUS183,Benjamin Guilbert,Local,0.86,1
184,CUS184,Alphonse Parent de la Rey,Local,0.37,3
185,CUS185,Isaac Le Muller,Local,0.77,1
186,CUS186,Henri Bouchet,Professionnel,0.31,0
187,CUS187,Jean Diallo,Local,0.32,1
188,CUS188,Denis Martinez,Local,0.92,2
189,CUS189,René Legendre,Local,0.71,2
190,CUS190,Benjamin Grondin,Local,0.61,3
191,CUS191,Alex Robert-Maury,Professionnel,0.64,3
192,CUS192,Catherine Regnier,Local,0.68,2
193,CUS193,Grégoire Regnier,Touriste,0.99,1
194,CUS194,Eugène Bonnin,Local,0.31,1
195,CUS195,Alice-Christelle Muller,Local,0.49,3
196,CUS196,Sophie Godard de la Gimenez,Local,0.4,5
197,CUS197,Joséphine Barre,Professionnel,0.59,2
198,CUS198,Éléonore de Lebon,Local,0.82,0
199,CUS199,Alphonse Jacquet,Touriste,0.47,1
200,CUS200,Étienne-Grégoire Monnier,Local,0.8,2
201,CUS201,Marguerite Collin de Fouquet,Touriste,0.96,2
202,CUS202,Andrée Fleury,Local,0.72,0
203,CUS203,Jérôme-Patrick Jean,Local,0.72,2
204,CUS204,Diane Lenoir,Local,0.81,3
205,CUS205,Théophile Buisson,Touriste,0.86,2
206,CUS206,Adrienne Diaz de la Guillet,Local,0.36,1
207,CUS207,Léon Costa de la Bertin,Professionnel,0.61,1
208,CUS208,Théophile du Royer,Professionnel,0.81,4
209,CUS209,Jérôme Louis,Local,0.45,2
210,CUS210,Rémy Potier,Touriste,0.95,1
211,CUS211,Dorothée Tessier,Professionnel,0.32,5
212,CUS212,Émilie-Mathilde Lambert,Professionnel,0.89,2
213,CUS213,Madeleine Alves,Local,0.46,0
214,CUS214,Gilbert Chauveau,Local,0.79,2
215,CUS215,Antoine Raynaud,Local,0.68,4
216,CUS216,Dorothée Dupont,Local,0.32,1
217,CUS217,Emmanuel Cousin,Professionnel,0.67,5
218,CUS218,Anne Pages-Leblanc,Local,0.74,4
219,CUS219,Yves Gilles,Touriste,0.47,0
220,CUS220,Pénélope de la Hebert,Local,0.5,1
221,CUS221,Alix Bouchet,Local,0.31,3
222,CUS222,Henriette Ferrand,Local,0.96,1
223,CUS223,Capucine Jean,Local,0.92,3
224,CUS224,Henri Poulain,Professionnel,0.46,4
225,CUS225,Robert Garnier-Traore,Local,0.45,2
226,CUS226,Margaret Da Silva,Local,0.98,4
227,CUS227,Benjamin Chauveau-Lemonnier,Touriste,0.79,1
228,CUS228,Emmanuel Bonneau,Local,0.46,3
229,CUS229,Sébastien Alves,Professionnel,0.49,0
230,CUS230,Pierre Potier,Professionnel,0.97,4
231,CUS231,Emmanuelle Breton de Lenoir,Local,0.56,2
232,CUS232,Auguste Jourdan,Local,0.45,1
233,CUS233,Bernadette-Marthe Léger,Professionnel,0.65,3
234,CUS234,Gilles Laroche,Touriste,0.7,3
235,CUS235,Aurore Grondin,Professionnel,0.91,5
236,CUS236,Capucine Le Rolland,Local,0.92,1
237,CUS237,Julien Chauvin de Torres,Touriste,0.39,2
238,CUS238,Eugène Picard,Touriste,0.88,1
239,CUS239,Capucine Thibault,Local,0.73,3
240,CUS240,René Techer,Local,0.85,0
241,CUS241,Élodie Vallée de la Rossi,Touriste,0.68,4
242,CUS242,Élodie Lévy,Professionnel,0.78,0
243,CUS243,Aimé Lebrun Le Petit,Local,0.8,0
244,CUS244,Thierry du Petitjean,Local,0.54,1
245,CUS245,Mathilde Grondin de la Descamps,Professionnel,0.98,2
246,CUS246,Caroline Guyon-Neveu,Touriste,0.32,0
247,CUS247,Margaud Marion,Local,0.64,3
248,CUS248,Matthieu Clerc-Lopes,Professionnel,0.6,1
249,CUS249,Pénélope Duhamel,Touriste,0.79,1
250,CUS250,Tristan Chevallier,Touriste,0.76,2
251,CUS251,Philippe Meunier,Local,0.96,2
252,CUS252,Colette Roche,Local,0.99,2
253,CUS253,Pauline Riou,Local,0.32,3
254,CUS254,Marine Payet-Léger,Professionnel,0.43,6
255,CUS255,Roger Brunel,Local,0.94,3
256,CUS256,Danielle Costa,Local,0.78,1
257,CUS257,Grégoire Blondel,Local,0.34,2
258,CUS258,Isabelle-Madeleine Neveu,Local,0.62,0
259,CUS259,Olivier Perez de Vidal,Local,0.57,2
260,CUS260,Océane Buisson-Meunier,Touriste,0.9,1
261,CUS261,Jeanne Martineau,Local,0.37,2
262,CUS262,Adèle-Éléonore Fontaine,Local,0.73,2
263,CUS263,Margaux Cohen,Local,0.66,0
264,CUS264,Luc Thibault-Peron,Local,0.32,0
265,CUS265,Michelle Bertrand,Local,0.39,3
266,CUS266,Anastasie Bigot,Local,0.37,2
267,CUS267,Jean de Garcia,Professionnel,0.34,5
268,CUS268,Guy Bruneau de la Goncalves,Touriste,0.36,4
269,CUS269,Gilbert Mary,Local,0.81,0
270,CUS270,Adélaïde Rousseau,Local,0.47,2
271,CUS271,Julie Faure Le Delahaye,Professionnel,0.54,2
272,CUS272,Anne de Muller,Local,0.69,4
273,CUS273,Théodore Richard,Local,0.78,0
274,CUS274,Alix Morin,Local,0.48,4
275,CUS275,Théodore Le Jean,Local,0.56,1
276,CUS276,Édouard-Léon Lebrun,Professionnel,0.71,3
277,CUS277,Raymond de Neveu,Professionnel,0.6,3
278,CUS278,Thérèse Maillet,Touriste,0.74,1
279,CUS279,Gilles du Gillet,Touriste,0.94,1
280,CUS280,Paulette Rémy,Professionnel,0.43,2
281,CUS281,Alfred Langlois,Professionnel,0.61,2
282,CUS282,Virginie Gay de la Chartier,Local,0.57,3
283,CUS283,Laetitia Techer,Touriste,0.39,2
284,CUS284,Guillaume de Chartier,Local,0.42,3
285,CUS285,Georges-Rémy Vallet,Local,0.73,1
286,CUS286,Sébastien de Lamy,Local,0.33,5
287,CUS287,Adélaïde Pasquier-Huet,Professionnel,0.44,0
288,CUS288,Océane Allain,Local,0.34,2
289,CUS289,Lorraine Dijoux,Local,0.62,3
290,CUS290,Benoît Blanchard,Local,0.99,1
291,CUS291,Astrid Barre,Professionnel,0.75,3
292,CUS292,Édith Laine,Touriste,0.4,0
293,CUS293,Nathalie du Chevalier,Local,0.79,2
294,CUS294,Françoise Le Jourdan,Local,0.77,2
295,CUS295,Lucie Grondin,Touriste,0.89,5
296,CUS296,Laurence Aubert,Local,0.95,2
297,CUS297,Robert Guyon,Touriste,0.58,1
298,CUS298,Arnaude-Inès Baudry,Touriste,1.0,0
299,CUS299,Véronique Morin,Professionnel,0.58,5
300,CUS300,Océane Guibert,Local,0.77,5
301,CUS301,Victoire de Gonzalez,Local,0.3,1
302,CUS302,Augustin de la David,Local,0.79,2
303,CUS303,Marthe Martinez,Local,0.46,0
304,CUS304,Hélène Lopes,Touriste,0.77,2
305,CUS305,Gabriel Legrand,Professionnel,0.66,1
306,CUS306,Dorothée Legros,Local,0.57,2
307,CUS307,Alexandre Lucas-Henry,Touriste,0.84,3
308,CUS308,Luce Meyer,Local,0.31,3
309,CUS309,Louis Seguin,Local,0.95,1
310,CUS310,Zacharie Lemonnier de Bourgeois,Local,0.48,1
311,CUS311,Arnaude Roy-Grondin,Touriste,0.68,3
312,CUS312,Gabriel Descamps,Local,0.39,1
313,CUS313,Bernard Germain,Local,0.67,1
314,CUS314,Capucine Jourdan-Masson,Local,0.48,4
315,CUS315,Alfred Paris-Techer,Touriste,0.97,3
316,CUS316,André Parent,Local,0.73,3
317,CUS317,Laure Samson du Joubert,Local,0.85,2
318,CUS318,Louise Legros de Lopes,Touriste,0.37,3
319,CUS319,Henriette Guérin-Giraud,Touriste,0.9,1
320,CUS320,Raymond Lefèvre,Local,0.75,2
321,CUS321,Arthur Laine,Local,0.72,2
322,CUS322,Tristan Baron,Touriste,0.58,4
323,CUS323,Catherine Fernandes,Local,0.81,2
324,CUS324,Valérie Poulain-Rousseau,Local,0.93,1
325,CUS325,Emmanuel Legendre,Local,0.55,0
326,CUS326,Jacques Camus Le Leroux,Local,0.35,2
327,CUS327,Laetitia Valette de la Renard,Professionnel,0.76,2
328,CUS328,Timothée Turpin,Touriste,1.0,3
329,CUS329,Nicolas Becker,Local,0.69,2
330,CUS330,Sylvie Blanc,Local,0.68,0
331,CUS331,Lorraine-Dominique Legros,Local,0.83,4
332,CUS332,Vincent Alexandre-Garnier,Local,0.41,6
333,CUS333,Adélaïde Le Joly,Touriste,0.39,3
334,CUS334,Emmanuel-William Germain,Local,0.48,1
335,CUS335,Claude Loiseau-Leclercq,Professionnel,0.69,1
336,CUS336,Grégoire Fabre,Local,0.72,5
337,CUS337,Capucine de la Valette,Professionnel,0.38,6
338,CUS338,Maurice Maillard,Local,0.58,1
339,CUS339,Céline Dijoux,Local,0.98,2
340,CUS340,Honoré Guilbert-Salmon,Professionnel,0.95,3
341,CUS341,Aimé Renaud,Local,0.58,1
342,CUS342,Simone Hebert,Local,0.32,0
343,CUS343,Joseph Chrétien,Professionnel,0.68,2
344,CUS344,Claudine Dijoux,Local,0.61,0
345,CUS345,Alain Teixeira,Touriste,0.45,2
346,CUS346,Roland-Stéphane Neveu,Local,0.85,1
347,CUS347,Inès Roy,Professionnel,0.34,3
348,CUS348,Luc Benoit,Local,0.51,0
349,CUS349,Maryse-Édith Marchal,Touriste,0.34,4
350,CUS350,Amélie Normand,Touriste,0.67,1
351,CUS351,Patricia Roussel,Professionnel,0.61,1
352,CUS352,Alix Launay,Local,0.88,2
353,CUS353,Benoît Voisin,Local,0.64,0
354,CUS354,Gabriel-Maurice Chevalier,Local,0.83,1
355,CUS355,Stéphane Ferrand Le Leblanc,Local,0.31,4
356,CUS356,Benoît Chevalier-Pons,Local,0.68,2
357,CUS357,Sébastien Mercier,Local,0.41,2
358,CUS358,Gilles Weber,Local,0.58,5
359,CUS359,Luc Arnaud,Touriste,0.61,2
360,CUS360,Thérèse Andre,Professionnel,0.62,5
361,CUS361,Augustin-Timothée Picard,Local,0.41,3
362,CUS362,Léon Boutin-Gillet,Local,0.8,0
363,CUS363,Philippe Allard,Local,0.31,3
364,CUS364,Théophile Godard,Local,0.84,1
365,CUS365,Alexandria Guibert,Local,0.37,2
366,CUS366,Alix Lamy,Local,0.36,4
367,CUS367,Geneviève Bigot,Local,0.38,4
368,CUS368,Marguerite Dias,Professionnel,0.86,3
369,CUS369,Agathe Costa,Touriste,0.87,1
370,CUS370,Marcelle du Germain,Local,0.95,1
371,CUS371,Patricia Laporte,Local,0.61,3
372,CUS372,Noël Laporte,Local,0.92,3
373,CUS373,Corinne Étienne-Lefèvre,Touriste,0.94,2
374,CUS374,Frédérique Leconte,Touriste,0.81,2
375,CUS375,Isabelle Bouvet,Local,0.99,1
376,CUS376,Laure Faure,Local,0.39,2
377,CUS377,Adèle-Virginie Marin,Local,0.89,3
378,CUS378,Isaac Payet-Evrard,Local,0.7,4
379,CUS379,Sébastien Berthelot de Guillon,Local,0.31,3
380,CUS380,Audrey Letellier-Couturier,Local,0.86,1
381,CUS381,Jules-Timothée Germain,Touriste,0.73,1
382,CUS382,Paulette de la Da Costa,Touriste,0.69,0
383,CUS383,Dominique Lebreton du Charpentier,Touriste,0.32,3
384,CUS384,Geneviève du Julien,Local,0.4,3
385,CUS385,Alex Antoine-Collin,Local,0.81,3
386,CUS386,Louis Jourdan,Touriste,0.3,3
387,CUS387,Inès Weiss,Local,0.64,1
388,CUS388,Thomas Arnaud,Local,0.69,4
389,CUS389,Gérard Barbe-Chevalier,Touriste,0.65,0
390,CUS390,Louise Laroche de la Olivier,Local,0.53,4
391,CUS391,Gilbert Alexandre,Local,0.53,1
392,CUS392,David-Sébastien Brunel,Local,0.72,5
393,CUS393,Claude Munoz,Touriste,0.38,2
394,CUS394,Jules Ferrand,Local,0.71,1
395,CUS395,Cécile Morin,Local,0.32,0
396,CUS396,Sylvie Benard,Touriste,0.49,3
397,CUS397,Denis Lopes Le Joubert,Local,0.91,2
398,CUS398,Simone Fischer,Local,0.64,0
399,CUS399,Marc Lecomte,Local,0.81,3
400,CUS400,Sabine Roussel,Local,0.73,1
401,CUS401,Hortense Adam,Touriste,0.97,0
402,CUS402,Rémy Merle du Morel,Local,0.5,1
403,CUS403,Philippine Olivier,Professionnel,0.47,2
404,CUS404,Guy Benoit,Touriste,0.35,1
405,CUS405,Maggie-Agathe Lefort,Local,0.93,1
406,CUS406,Thérèse Berger-Denis,Local,0.54,1
407,CUS407,Antoinette-Isabelle Daniel,Touriste,0.97,2
408,CUS408,Thérèse Lefèvre,Local,0.48,3
409,CUS409,Auguste Schmitt,Local,0.7,3
410,CUS410,Émile Le Roux,Local,0.41,1
411,CUS411,Laurence Martin,Professionnel,0.69,1
412,CUS412,Constance Vidal,Professionnel,0.81,0
413,CUS413,Marc Guibert,Touriste,0.68,0
414,CUS414,Matthieu Sauvage,Local,0.64,2
415,CUS415,Arthur Launay,Touriste,0.62,3
416,CUS416,Patrick Masson,Local,0.86,1
417,CUS417,Josette Jacquet,Touriste,0.44,1
418,CUS418,Mathilde Charles-Hardy,Local,0.83,1
419,CUS419,Adrien Guyon,Professionnel,0.92,2
420,CUS420,Franck Richard de Hoareau,Professionnel,0.84,0
421,CUS421,Margot-Laurence Goncalves,Local,0.62,3
422,CUS422,Benoît Sauvage,Touriste,0.88,3
423,CUS423,Lorraine Bernard,Local,0.5,4
424,CUS424,Arthur de la Hernandez,Professionnel,0.67,1
425,CUS425,Claude Weber,Touriste,0.52,4
426,CUS426,Adrien Gilles,Local,0.43,2
427,CUS427,Guillaume Chevalier,Local,0.73,0
428,CUS428,Brigitte Roux de la Pascal,Professionnel,0.86,4
429,CUS429,Thierry Blanchard,Touriste,0.42,2
430,CUS430,Gabriel Gallet,Local,0.69,3
431,CUS431,Philippe Clément-Da Silva,Touriste,0.43,4
432,CUS432,Zoé Chauvin du Dubois,Local,0.88,2
433,CUS433,Franck Launay,Touriste,0.53,1
434,CUS434,Philippine Grondin-Samson,Touriste,0.37,1
435,CUS435,Nath Guillet,Local,0.62,3
436,CUS436,Matthieu Munoz du Leduc,Touriste,0.63,2
437,CUS437,Thomas Lefebvre,Touriste,0.53,1
438,CUS438,Gabrielle Letellier,Local,0.9,2
439,CUS439,Agnès-Sabine Ribeiro,Touriste,0.79,2
440,CUS440,Frédérique Delmas,Local,0.51,6
441,CUS441,Marguerite Robert,Professionnel,0.77,1
442,CUS442,Laure Leleu,Local,0.62,4
443,CUS443,Camille Valentin,Local,0.33,4
444,CUS444,Thérèse Lemaire-Joseph,Professionnel,0.83,1
445,CUS445,Inès Baudry,Professionnel,0.81,2
446,CUS446,Clémence Berthelot,Professionnel,0.38,2
447,CUS447,Christelle Grenier,Local,0.31,2
448,CUS448,Jacqueline Lenoir,Local,0.51,1
449,CUS449,Margaud Barbier-Clément,Professionnel,0.9,3
450,CUS450,Denise de Hernandez,Local,0.47,1
451,CUS451,Dorothée Ruiz Le Mercier,Local,1.0,2
452,CUS452,Raymond Durand,Touriste,0.72,0
453,CUS453,Éric Schneider,Local,0.94,5
454,CUS454,Maryse Guyon,Local,0.6,4
455,CUS455,Louis de la Dupré,Touriste,0.71,2
456,CUS456,Eugène-Léon Morin,Local,0.57,4
457,CUS457,Émilie Gros-Marty,Local,0.74,0
458,CUS458,Aurélie Bouvet Le Rolland,Local,0.55,1
459,CUS459,Laurence Chevalier,Local,0.49,3
460,CUS460,Thibault Mary,Touriste,0.5,1
461,CUS461,Josette Thierry,Local,0.31,1
462,CUS462,Denise de la Weber,Local,0.54,3
463,CUS463,Matthieu Le Gall,Professionnel,0.58,0
464,CUS464,Lucas Diaz,Touriste,0.38,3
465,CUS465,Théodore Charpentier,Touriste,0.99,0
466,CUS466,René Benard,Local,0.58,3
467,CUS467,Élise Georges,Touriste,0.52,3
468,CUS468,Bertrand Martel-Bernier,Touriste,0.34,1
469,CUS469,Victoire Marchal,Touriste,0.78,0
470,CUS470,Charlotte Diallo,Local,0.62,1
471,CUS471,Élodie Marin de Toussaint,Local,0.83,0
472,CUS472,Michelle Deschamps,Local,0.55,4
473,CUS473,Daniel Da Costa-Coste,Local,0.75,4
474,CUS474,Jules Neveu,Professionnel,0.35,1
475,CUS475,Emmanuelle Joly,Local,0.6,2
476,CUS476,Adrien Roy,Local,0.39,3
477,CUS477,Constance Marques,Touriste,0.78,2
478,CUS478,Bernard Dijoux-Adam,Local,0.85,5
479,CUS479,Anne Guilbert,Local,0.71,3
480,CUS480,Anaïs Menard-Gillet,Local,0.42,1
481,CUS481,Martine Berger,Professionnel,0.54,1
482,CUS482,Thierry David-Brun,Touriste,0.75,1
483,CUS483,Isaac Michaud,Local,0.52,3
484,CUS484,Jules du Meyer,Professionnel,0.62,1
485,CUS485,Luce Leclercq de Garcia,Local,0.32,3
486,CUS486,Gilbert Schneider de David,Local,0.57,1
487,CUS487,François Chevalier-Olivier,Touriste,0.62,2
488,CUS488,Lucie Gauthier,Professionnel,0.52,4
489,CUS489,Gilles Millet,Professionnel,0.57,1
490,CUS490,Édouard du Riou,Local,0.41,4
491,CUS491,Grégoire Pinto-Schmitt,Local,0.48,1
492,CUS492,Marcelle Texier,Local,0.49,3
493,CUS493,Anastasie Lévy,Local,0.61,2
494,CUS494,Alexandre Baron,Professionnel,0.92,3
495,CUS495,Pénélope Lefèvre,Local,0.33,2
496,CUS496,Henri Le Bonnet,Professionnel,0.94,3
497,CUS497,Philippe Traore-Lefèvre,Touriste,0.39,4
498,CUS498,Frédéric de Guyot,Local,0.99,3
499,CUS499,Amélie Guichard,Local,0.44,3
500,CUS500,Honoré-Louis David,Local,0.91,6
501,CUS501,Nicolas de Godard,Local,0.9,3
502,CUS502,Suzanne Blanchard,Professionnel,0.61,3
503,CUS503,Joséphine Pasquier,Local,0.78,2
504,CUS504,Michel du Colin,Local,0.55,2
